TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,DATA_TYPE,ORDINAL_POSITION
DBT,SERVICE_TICKET_MODEL,ROUTER_NAS_ID,TEXT,18
DBT,SERVICE_TICKET_MODEL,DEVICE_ID,TEXT,19
DBT,SPEED_TEST_COVERAGE,DEVICES_TESTED,NUMBER,2
DBT,SPEED_TEST_COVERAGE,DEVICES_TESTED_V3,NUMBER,3
DBT,SPEED_TEST_COVERAGE,DEVICES_TESTED_LEGACY,NUMBER,4
DBT,STG_IX_DEVICE,DEVICE_ID,TEXT,1
DBT,STG_IX_DEVICE,DEVICE_FAMILY,TEXT,3
DBT,STG_IX_INCIDENTS,DEVICE_COUNT,NUMBER,7
DBT,STG_IX_INCIDENT_IMPACTED_DEVICE,DEVICE_ID,TEXT,2
DBT,STG_IX_PING_INFLUX,DEVICE_ID,TEXT,2
DBT,STG_IX_PING_INFLUX,DEVICE_FAMILY,TEXT,3
DBT,STG_IX_PING_INFLUX,OPTICAL_MIN,NUMBER,9
DBT,STG_IX_PING_INFLUX,OPTICAL_AVG,NUMBER,10
DBT,STG_IX_PING_INFLUX,OPTICAL_MAX,NUMBER,11
DBT,STG_IX_ROUTER_LOGS_SPEEDTEST,DEVICE_ID,TEXT,1
DBT,STG_IX_ROUTER_LOGS_SPEEDTEST,ADDED_TIME_IST,TIMESTAMP_NTZ,2
DBT,STG_IX_ROUTER_LOGS_SPEEDTEST,DATE_IST,DATE,3
DBT,STG_IX_ROUTER_LOGS_SPEEDTEST,EVENT_NAME,TEXT,4
DBT,STG_IX_ROUTER_LOGS_SPEEDTEST,IS_V3,BOOLEAN,5
DBT,STG_IX_ROUTER_LOGS_SPEEDTEST,SPEED_MBPS,FLOAT,6
DBT,STG_IX_ROUTER_LOGS_SPEEDTEST,JITTER_MS,FLOAT,7
DBT,STG_IX_ROUTER_LOGS_SPEEDTEST,LATENCY_MS,FLOAT,8
DBT,STG_IX_TRUM,ROUTER_NAS_ID,NUMBER,2
DBT,STG_PAYG_NAS,ROUTER_NAS_ID,NUMBER,1
DBT,STG_TRUM_FILTERED,ROUTER_NAS_ID,NUMBER,2
DBT,STG_TRUM_FILTERED,DEVICE_LIMIT,NUMBER,7
