h3_id,eligible_devices,qualifying_events,events_1_to_3_hours,events_over_3_hours,worst_affected_devices,worst_affected_share,longest_event_minutes,latest_event_start_ist,latest_event_end_ist,severity
893da18cb47ffff,5,2,1,1,5,1.0,310.0,2026-07-28 02:50:00,2026-07-28 08:00:00,over_3_hours
893da18cb4bffff,5,2,1,1,4,0.8,310.0,2026-07-28 02:50:00,2026-07-28 08:00:00,over_3_hours
893da18cb4fffff,10,2,1,1,10,1.0,315.0,2026-07-28 02:45:00,2026-07-28 08:00:00,over_3_hours
893da18cb67ffff,5,4,3,1,5,1.0,330.0,2026-07-22 20:10:00,2026-07-22 21:45:00,over_3_hours
893da18cba7ffff,10,1,1,0,9,0.9,110.0,2026-07-02 07:00:00,2026-07-02 08:50:00,1_to_3_hours
893da18cd1bffff,5,1,1,0,5,1.0,115.0,2026-07-07 12:40:00,2026-07-07 14:35:00,1_to_3_hours
893da18cd27ffff,11,1,0,1,9,0.8182,285.0,2026-07-19 01:35:00,2026-07-19 06:20:00,over_3_hours
893da18cd43ffff,43,1,1,0,37,0.8605,115.0,2026-07-07 12:40:00,2026-07-07 14:35:00,1_to_3_hours
893da18cd4fffff,12,2,1,1,10,0.8333,1325.0,2026-07-18 14:30:00,2026-07-19 12:35:00,over_3_hours
893da18cd53ffff,20,1,1,0,15,0.75,115.0,2026-07-07 12:40:00,2026-07-07 14:35:00,1_to_3_hours
893da18ce57ffff,6,2,2,0,6,1.0,130.0,2026-07-22 20:10:00,2026-07-22 21:50:00,1_to_3_hours
893da18ce6fffff,11,1,0,1,11,1.0,345.0,2026-07-30 05:50:00,2026-07-30 11:35:00,over_3_hours
893da18ceabffff,25,1,1,0,18,0.72,160.0,2026-07-18 09:20:00,2026-07-18 12:00:00,1_to_3_hours
893da18d197ffff,16,1,0,1,12,0.75,525.0,2026-07-14 23:25:00,2026-07-15 08:10:00,over_3_hours
893da18d19bffff,8,1,1,0,6,0.75,80.0,2026-07-07 14:20:00,2026-07-07 15:40:00,1_to_3_hours
893da18d1a3ffff,12,1,0,1,11,0.9167,230.0,2026-07-28 12:45:00,2026-07-28 16:35:00,over_3_hours
893da18d203ffff,6,1,1,0,6,1.0,90.0,2026-07-20 01:25:00,2026-07-20 02:55:00,1_to_3_hours
893da18d20fffff,5,1,1,0,4,0.8,75.0,2026-07-07 17:55:00,2026-07-07 19:10:00,1_to_3_hours
893da18d213ffff,16,1,1,0,12,0.75,85.0,2026-07-20 01:25:00,2026-07-20 02:50:00,1_to_3_hours
893da18d21bffff,7,1,1,0,6,0.8571,85.0,2026-07-20 01:25:00,2026-07-20 02:50:00,1_to_3_hours
893da18d237ffff,8,1,1,0,7,0.875,115.0,2026-07-18 08:40:00,2026-07-18 10:35:00,1_to_3_hours
893da18d277ffff,10,1,0,1,7,0.7,330.0,2026-07-11 04:45:00,2026-07-11 10:15:00,over_3_hours
893da18d287ffff,11,1,1,0,9,0.8182,75.0,2026-07-23 01:00:00,2026-07-23 02:15:00,1_to_3_hours
893da18d28bffff,10,1,1,0,8,0.8,85.0,2026-07-20 01:25:00,2026-07-20 02:50:00,1_to_3_hours
893da18d2c7ffff,19,1,1,0,15,0.7895,75.0,2026-07-20 01:30:00,2026-07-20 02:45:00,1_to_3_hours
893da18d397ffff,7,1,0,1,5,0.7143,355.0,2026-07-27 23:50:00,2026-07-28 05:45:00,over_3_hours
893da18d3b3ffff,21,2,2,0,16,0.7619,145.0,2026-07-15 16:30:00,2026-07-15 18:55:00,1_to_3_hours
893da18d507ffff,13,2,2,0,10,0.7692,95.0,2026-07-19 04:25:00,2026-07-19 05:35:00,1_to_3_hours
893da18d523ffff,26,1,1,0,22,0.8462,65.0,2026-07-19 04:25:00,2026-07-19 05:30:00,1_to_3_hours
893da18d527ffff,30,1,0,1,27,0.9,315.0,2026-07-19 01:10:00,2026-07-19 06:25:00,over_3_hours
893da18d583ffff,10,1,1,0,7,0.7,140.0,2026-07-21 05:05:00,2026-07-21 07:25:00,1_to_3_hours
893da18d5abffff,12,3,2,1,10,0.8333,780.0,2026-07-28 13:10:00,2026-07-28 14:30:00,over_3_hours
893da18d66fffff,13,1,1,0,11,0.8462,75.0,2026-07-20 01:30:00,2026-07-20 02:45:00,1_to_3_hours
893da18d8cfffff,5,1,0,1,4,0.8,230.0,2026-07-26 19:55:00,2026-07-26 23:45:00,over_3_hours
893da18d983ffff,12,1,1,0,9,0.75,100.0,2026-07-31 22:20:00,2026-08-01 00:00:00,1_to_3_hours
893da18d9d7ffff,11,2,2,0,10,0.9091,135.0,2026-07-05 17:25:00,2026-07-05 19:10:00,1_to_3_hours
893da18da4bffff,96,1,0,1,73,0.7604,400.0,2026-07-24 11:25:00,2026-07-24 18:05:00,over_3_hours
893da18da4fffff,16,2,1,1,14,0.875,570.0,2026-07-25 09:45:00,2026-07-25 19:15:00,over_3_hours
893da18db8bffff,7,1,1,0,5,0.7143,70.0,2026-07-28 13:00:00,2026-07-28 14:10:00,1_to_3_hours
